Iteration,test_mse
0,0.09531769901514053
1,0.06145984306931496
2,0.034222833812236786
3,0.04788944125175476
4,0.04795807600021362
5,0.0385085865855217
6,0.03203756734728813
7,0.03224579617381096
8,0.03440101444721222
9,0.03467237949371338
10,0.03267046809196472
11,0.0296045932918787
12,0.027157697826623917
13,0.026394229382276535
14,0.02657853625714779
15,0.02601073682308197
16,0.024354267865419388
17,0.02268540859222412
18,0.02204081043601036
19,0.02234187349677086
20,0.022714311257004738
21,0.022603714838624
22,0.022087762132287025
23,0.021583078429102898
24,0.021486783400177956
25,0.02183699794113636
26,0.022251805290579796
27,0.022361669689416885
28,0.02214948832988739
29,0.02183401957154274
30,0.021595627069473267
31,0.02144559659063816
32,0.021279696375131607
33,0.021019160747528076
34,0.020695742219686508
35,0.02041364647448063
36,0.02024794928729534
37,0.02017221599817276
38,0.020090408623218536
39,0.01996520161628723
40,0.019801147282123566
41,0.019590701907873154
42,0.019346894696354866
43,0.019120031967759132
44,0.01892293617129326
45,0.01870821975171566
46,0.018445996567606926
47,0.018164653331041336
48,0.017775772139430046
49,0.01728188991546631
50,0.016653483733534813
51,0.015857435762882233
52,0.014962371438741684
53,0.014042769558727741
54,0.013250204734504223
55,0.012543294578790665
56,0.011911876499652863
57,0.011362936347723007
58,0.010834184475243092
59,0.010392427444458008
60,0.010064922273159027
61,0.009781794622540474
62,0.00961186271160841
63,0.009543891996145248
64,0.009463761933147907
65,0.009175335988402367
66,0.009015440009534359
67,0.008966975845396519
68,0.00871572457253933
69,0.008655750192701817
70,0.008500328287482262
71,0.00836039800196886
72,0.008207681588828564
73,0.008073722012341022
74,0.008039983920753002
75,0.007863277569413185
76,0.0077547053806483746
77,0.007642052602022886
78,0.007544360589236021
79,0.007451205980032682
80,0.00734712602570653
81,0.007278011180460453
82,0.007143341936171055
83,0.007030009292066097
84,0.006958885584026575
85,0.0067835221998393536
86,0.0066606695763766766
87,0.006554672960191965
88,0.00642834696918726
89,0.0064034732058644295
90,0.006247263867408037
91,0.006309177726507187
92,0.006127153988927603
93,0.006059339269995689
94,0.005819811951369047
95,0.005739821586757898
96,0.005768349394202232
97,0.005686262622475624
98,0.0057044243440032005
99,0.0055228834971785545
100,0.005457526538521051
101,0.005484483670443296
102,0.00542166642844677
103,0.005472732242196798
104,0.005278460681438446
105,0.005241903942078352
106,0.005146830342710018
107,0.005086987279355526
108,0.005144708789885044
109,0.005073206499218941
110,0.005257337354123592
111,0.005126308184117079
112,0.005171539261937141
113,0.004835980013012886
114,0.004756422713398933
115,0.004900386556982994
116,0.004808894824236631
117,0.004740375094115734
118,0.004642152227461338
119,0.004643270745873451
120,0.004734673071652651
121,0.0045558493584394455
122,0.004496705252677202
123,0.004506988450884819
124,0.004474231507629156
125,0.00451628165319562
126,0.004395561758428812
127,0.004359085578471422
128,0.00426139123737812
129,0.004218025598675013
130,0.004268193151801825
131,0.004287684336304665
132,0.004499973263591528
133,0.004513181280344725
134,0.004454422276467085
135,0.004064223729074001
136,0.003981471061706543
137,0.00419212831184268
138,0.004087818320840597
139,0.003923230804502964
140,0.00399264320731163
141,0.00402359664440155
142,0.003911309875547886
143,0.0038118171505630016
144,0.0038554337806999683
145,0.0038916505873203278
146,0.0037241203244775534
147,0.0036936623509973288
148,0.0037905762437731028
149,0.0037324458826333284
150,0.003700882662087679
151,0.00359540618956089
152,0.003580145537853241
153,0.0036701064091175795
154,0.003644356969743967
155,0.003692857688292861
156,0.0035432346630841494
157,0.003525721374899149
158,0.0034708110615611076
159,0.0034692182671278715
160,0.003488394198939204
161,0.003461859654635191
162,0.003573099384084344
163,0.003594314446672797
164,0.0037705684080719948
165,0.0036697762552648783
166,0.0036426084116101265
167,0.0034117239993065596
168,0.0033668973483145237
169,0.003445625538006425
170,0.0034211676102131605
171,0.0034170218277722597
172,0.00332407234236598
173,0.0033198248129338026
174,0.0033767404966056347
175,0.0033048628829419613
176,0.0033014435321092606
177,0.003269428154453635
178,0.003257215954363346
179,0.0033123439643532038
180,0.0032482852693647146
181,0.0032733941916376352
182,0.0032275314442813396
183,0.003215016331523657
184,0.003221537685021758
185,0.0032091557513922453
186,0.0032621806021779776
187,0.0032267600763589144
188,0.0033328398130834103
189,0.0033156252466142178
190,0.003473691875115037
191,0.003419120330363512
192,0.003411249490454793
193,0.0031731221824884415
194,0.0031101505737751722
195,0.003217279212549329
196,0.003245885483920574
197,0.003277063136920333
198,0.0031214687041938305
199,0.003089623525738716
200,0.003191744675859809
201,0.003183626802638173
202,0.0031955731101334095
203,0.003081226022914052
204,0.0030800981912761927
205,0.00318115740083158
206,0.003151640994474292
207,0.003169818315654993
208,0.003077627858147025
209,0.0030679721385240555
210,0.003118442138656974
211,0.003108317730948329
212,0.0031599041540175676
213,0.003073667408898473
214,0.0030841566622257233
215,0.003049331484362483
216,0.0030417945235967636
217,0.0030771722085773945
218,0.0030646673403680325
219,0.0031349353957921267
220,0.0030952009838074446
221,0.0032016660552471876
222,0.003145520342513919
223,0.00322096049785614
224,0.0030989241786301136
225,0.0030916875693947077
226,0.00299543677829206
227,0.0029987581074237823
228,0.0030369777232408524
229,0.00302582373842597
230,0.0031247478909790516
231,0.0030757600907236338
232,0.0031195690389722586
233,0.003016158938407898
234,0.0030287918634712696
235,0.002970101311802864
236,0.0029755793511867523
237,0.003009985899552703
238,0.002992159454151988
239,0.003076245542615652
240,0.0030505319591611624
241,0.0031584869138896465
242,0.003103574737906456
243,0.0031940063927322626
244,0.0030482448637485504
245,0.0030209061224013567
246,0.002938020508736372
247,0.002941607963293791
248,0.0030406182631850243
249,0.00302716251462698
250,0.00308309611864388
251,0.002963824663311243
252,0.0029646754264831543
253,0.002919849008321762
254,0.0029278884176164865
255,0.0030020379927009344
256,0.0029766419902443886
257,0.0030535170808434486
258,0.0029858730267733335
259,0.003033385844901204
260,0.002937339711934328
261,0.002957650227472186
262,0.002914201933890581
263,0.002916309516876936
264,0.002943204715847969
265,0.0029260951559990644
266,0.0030025101732462645
267,0.002976318821310997
268,0.003120864275842905
269,0.003085712669417262
270,0.0032194650266319513
271,0.0030631849076598883
272,0.0030059556011110544
273,0.002858150750398636
274,0.002879227278754115
275,0.003033413551747799
276,0.00299113430082798
277,0.0030069120693951845
278,0.00286177103407681
279,0.0028509071562439203
280,0.0029435649048537016
281,0.0029426810797303915
282,0.0029979522805660963
283,0.0028800638392567635
284,0.0028738388791680336
285,0.002879232633858919
286,0.0028792403172701597
287,0.0029603608418256044
288,0.002902928739786148
289,0.002939994912594557
290,0.0028633219189941883
291,0.0028776118997484446
292,0.002861971966922283
293,0.00286478060297668
294,0.0029079047963023186
295,0.002883118111640215
296,0.0029598975088447332
297,0.0029207132756710052
298,0.003033689921721816
299,0.0029669071082025766
300,0.003058495931327343
301,0.0029235209804028273
302,0.0029197554104030132
303,0.0028258636593818665
304,0.002831985242664814
305,0.002899815095588565
306,0.002888378454372287
307,0.002988377120345831
308,0.0029039187356829643
309,0.002940818900242448
310,0.0028410679660737514
311,0.002849307842552662
312,0.0028503169305622578
313,0.0028491427656263113
314,0.002924049273133278
315,0.002884943038225174
316,0.0029660097789019346
317,0.0028901759069412947
318,0.0029440750367939472
319,0.0028521998319774866
320,0.0028728460893034935
321,0.0028294618241488934
322,0.002830574754625559
323,0.002858701627701521
324,0.0028461290057748556
325,0.00291702663525939
326,0.0028859192971140146
327,0.0030008566100150347
328,0.002949994755908847
329,0.003068650374189019
330,0.0029456119518727064
331,0.0029503805562853813
332,0.002806928474456072
333,0.002806988311931491
334,0.002866275841370225
335,0.002865647431463003
336,0.0029743036720901728
337,0.002881840104237199
338,0.0028994958847761154
339,0.0028047841042280197
340,0.0028142083901911974
341,0.00285628205165267
342,0.0028474261052906513
343,0.002935264492407441
344,0.0028646618593484163
345,0.0029092668555676937
346,0.0028228377923369408
347,0.0028385440818965435
348,0.0028148037381470203
349,0.0028166056144982576
350,0.0028691079933196306
351,0.002839433727785945
352,0.002926936838775873
353,0.0028736749663949013
354,0.0029547575395554304
355,0.0028696293011307716
356,0.0029177332762628794
357,0.002818178851157427
358,0.0028350672218948603
359,0.0028039307799190283
360,0.002806050004437566
361,0.002847759984433651
362,0.0028317715041339397
363,0.0029166829772293568
364,0.002878708066418767
365,0.0029926153365522623
366,0.0029171830974519253
367,0.002992227440699935
368,0.002860155887901783
369,0.002861872548237443
