Iteration,test_mse,test_r2,test_mae
0,0.09507623314857483,-2.1177659034729004,0.27265259623527527
1,0.06073860079050064,-0.991756796836853,0.21298831701278687
2,0.03322949633002281,-0.08967077732086182,0.14975222945213318
3,0.049716170877218246,-0.6303063631057739,0.1708769053220749
4,0.04859565198421478,-0.5935618877410889,0.168698251247406
5,0.03742237016558647,-0.227164626121521,0.14951859414577484
6,0.03116457723081112,-0.02195727825164795,0.14224651455879211
7,0.03300324082374573,-0.08225119113922119,0.1508922576904297
8,0.03515445068478584,-0.15279436111450195,0.15743869543075562
9,0.03396516665816307,-0.11379504203796387,0.15465441346168518
10,0.03047001361846924,0.0008189678192138672,0.1447754055261612
11,0.027218593284487724,0.10744047164916992,0.13301482796669006
12,0.02632932923734188,0.13660144805908203,0.12522542476654053
13,0.02699469029903412,0.11478269100189209,0.12213634699583054
14,0.026459822431206703,0.1323222517967224,0.11861325055360794
15,0.024334294721484184,0.20202314853668213,0.11317155510187149
16,0.022331930696964264,0.2676851749420166,0.1100359633564949
17,0.021793169900774956,0.2853524088859558,0.11203598976135254
18,0.022377755492925644,0.26618248224258423,0.11637278646230698
19,0.022908562794327736,0.2487761378288269,0.11870884895324707
20,0.022820767015218735,0.2516551613807678,0.1175205409526825
21,0.022314388304948807,0.26826047897338867,0.1139172911643982
22,0.02188606560230255,0.28230613470077515,0.11025406420230865
23,0.021883901208639145,0.28237712383270264,0.108598992228508
24,0.022242067381739616,0.2706320881843567,0.10904725641012192
25,0.0225666556507349,0.25998806953430176,0.11019876599311829
26,0.022522415965795517,0.26143878698349,0.1107814759016037
27,0.022138934582471848,0.27401405572891235,0.11068806797266006
28,0.0216985996812582,0.2884535789489746,0.11061345040798187
29,0.021439945325255394,0.296935498714447,0.11111563444137573
30,0.02135339006781578,0.29977381229400635,0.11195170134305954
31,0.02127007767558098,0.3025057911872864,0.11236351728439331
32,0.02105938084423542,0.30941498279571533,0.11176683008670807
33,0.02076997421681881,0.3189053535461426,0.11027894914150238
34,0.02056036703288555,0.3257788419723511,0.10856640338897705
35,0.0204883124679327,0.3281416893005371,0.10724501311779022
36,0.02044014260172844,0.32972127199172974,0.10637109726667404
37,0.020346399396657944,0.33279526233673096,0.10587434470653534
38,0.020259374752640724,0.3356490135192871,0.10595007985830307
39,0.02014266327023506,0.3394762873649597,0.10603443533182144
40,0.019963139668107033,0.3453632593154907,0.10577736794948578
41,0.0197866540402174,0.3511505722999573,0.10533901304006577
42,0.019647851586341858,0.35570228099823,0.1049216017127037
43,0.01952517218887806,0.3597252368927002,0.10455504804849625
44,0.019363809376955032,0.3650166988372803,0.10419709980487823
45,0.019140861928462982,0.37232762575149536,0.10374940931797028
46,0.01890505664050579,0.38006019592285156,0.10315034538507462
47,0.01869213581085205,0.38704240322113037,0.10233679413795471
48,0.018457826226949692,0.3947259187698364,0.10119076073169708
49,0.01820879802107811,0.4028921127319336,0.100113645195961
50,0.017908433452248573,0.4127417802810669,0.09932465851306915
51,0.01756313443183899,0.4240649342536926,0.09869486838579178
52,0.01717900112271309,0.4366615414619446,0.09774120897054672
53,0.01677599735558033,0.44987690448760986,0.09643314778804779
54,0.016357848420739174,0.4635889530181885,0.09519678354263306
55,0.01591085083782673,0.4782470464706421,0.09392856061458588
56,0.015377870760858059,0.4957246780395508,0.09198805689811707
57,0.014767859131097794,0.5157283544540405,0.08986949175596237
58,0.014064342714846134,0.5387982130050659,0.08752565085887909
59,0.013287130743265152,0.5642848014831543,0.08449205756187439
60,0.01249601785093546,0.5902271270751953,0.08136329799890518
61,0.011751585640013218,0.6146388053894043,0.07831420004367828
62,0.011052313260734081,0.6375695466995239,0.07512474060058594
63,0.01045265980064869,0.6572335362434387,0.072916679084301
64,0.010098482482135296,0.6688477993011475,0.07041453570127487
65,0.009731646627187729,0.6808772087097168,0.06995078921318054
66,0.009332410991191864,0.6939690113067627,0.06719713658094406
67,0.009117755107581615,0.7010080814361572,0.06606217473745346
68,0.00889910850673914,0.7081780433654785,0.0658559501171112
69,0.008607428520917892,0.7177428603172302,0.06386185437440872
70,0.008436298929154873,0.7233545780181885,0.06299152225255966
71,0.008235839195549488,0.7299281358718872,0.0629444494843483
72,0.008003671653568745,0.7375414371490479,0.06149499490857124
73,0.007917026989161968,0.7403826713562012,0.06100082024931908
74,0.007770917844027281,0.7451739311218262,0.06090354919433594
75,0.007604938931763172,0.7506167888641357,0.05975660681724548
76,0.007545537315309048,0.7525646686553955,0.059263668954372406
77,0.007423713803291321,0.7565595507621765,0.05905042961239815
78,0.007307212799787521,0.7603799104690552,0.0582965686917305
79,0.007236437872052193,0.7627007365226746,0.05770692601799965
80,0.007118793670088053,0.7665585279464722,0.05747199058532715
81,0.006997531279921532,0.7705350518226624,0.05674571543931961
82,0.006931738927960396,0.7726925015449524,0.05636722594499588
83,0.006854093633592129,0.7752386927604675,0.05629507452249527
84,0.006717200856655836,0.7797276973724365,0.05542341619729996
85,0.006615985184907913,0.7830468416213989,0.05503196641802788
86,0.006549346726387739,0.7852320075035095,0.05467037111520767
87,0.006490502040833235,0.7871617078781128,0.054050371050834656
88,0.006480259820818901,0.7874975204467773,0.054153911769390106
89,0.006407108157873154,0.7898963689804077,0.05348210781812668
90,0.006320746149867773,0.7927283644676208,0.05342022702097893
91,0.006200943607836962,0.7966569662094116,0.05245214328169823
92,0.006125081330537796,0.7991446256637573,0.052210062742233276
93,0.006071483716368675,0.800902247428894,0.051864780485630035
94,0.00602317787706852,0.8024863004684448,0.05152593180537224
95,0.006019697058945894,0.8026004433631897,0.0516086220741272
96,0.006090645678341389,0.8002738952636719,0.051769696176052094
97,0.006298445165157318,0.7934596538543701,0.053826574236154556
98,0.00635162927210331,0.7917156219482422,0.05341040715575218
99,0.005823507439345121,0.8090339303016663,0.05037793889641762
100,0.00597161753103137,0.8041771054267883,0.0516776442527771
101,0.006034888792783022,0.802102267742157,0.051740095019340515
102,0.005602200981229544,0.816291093826294,0.04919453710317612
103,0.005969548132270575,0.8042449355125427,0.052051033824682236
104,0.0056917984038591385,0.8133530020713806,0.0498255118727684
105,0.005571669898927212,0.8172922730445862,0.049134720116853714
106,0.0057500991970300674,0.81144118309021,0.05098666250705719
107,0.005402766168117523,0.8228310346603394,0.04825127124786377
108,0.005575568415224552,0.817164421081543,0.049397435039281845
